MIME-type,Extension
application/vnd.lotus-1-2-3,123
application/x-7z-compressed,7z
application/octet-stream,a
application/x-stata-ado,ado
application/postscript,ai
application/vnd.antix.game-component,atx
video/x-msvideo,avi
application/x-msdownload,bat
application/vnd.realvnc.bed,bed
image/bmp,bmp
application/x-bzip,bz
application/x-bzip2,bz2
text/x-c,c
application/vnd.ms-pki.seccat,cat
application/x-director,cct
application/x-netcdf,cdf
application/vnd.ms-htmlhelp,chm
application/java-vm,class
application/x-x509-ca-cert,crt
text/css,css
text/csv,csv
application/dbf,dbf
application/docbook+xml,dbk
application/dicom,dcm
application/vnd.fujixerox.ddd,ddd
application/vnd.mobius.dis,dis
application/vnd.dna,dna
application/x-stata-syntax,do
text/x-stata-syntax,do
application/msword,doc
application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx
application/x-stata,dta
application/x-stata-13,dta
application/x-stata-14,dta
application/x-stata-15,dta
application/xml-dtd,dtd
application/vnd.ms-fontobject,eot
text/x-fortran,f
application/vnd.isac.fcs,fcs
image/x-freehand,fh
audio/flac,flac
audio/x-flac,flac
video/x-flv,flv
image/vnd.fst,fst
application/rpki-ghostbusters,gbr
application/geo+json,geojson
image/gif,gif
application/gml+xml,gml
application/gpx+xml,gpx
application/x-font-ghostscript,gsf
application/amc,gz
application/gzip,gz
application/x-gzip,gz
application/x-hdf,hdf
application/winhlp,hlp
text/html,htm
image/x-icon,ico
text/calendar,ics
application/x-ipynb+json,ipynb
application/java-archive,jar
text/x-java-source,java
image/jp2,jp2
image/jpeg,jpg
application/javascript,js
application/json,json
application/vnd.google-earth.kml+xml,kml
application/vnd.google-earth.kmz,kmz
application/x-ms-shortcut,lnk
text/x-matlab,m
audio/x-m4a,m4a
text/troff,man
application/matlab-mat,mat
application/vnd.mobius.mbk,mbk
text/markdown,md
text/x-markdown,md
application/msaccess,mdb
application/x-msaccess,mdb
audio/midi,mid
application/vnd.mif,mif
text/x-makefile,mk
audio/x-matroska,mka
video/x-matroska,mkv
application/x-mobipocket-ebook,mobi
video/quicktime,mov
audio/mpeg,mp3
video/mp4,mp4
video/mpeg,mpg
application/vnd.ms-project,mpp
application/vnd.musician,mus
application/xv+xml,mxml
application/netcdf,nc
image/nii,nii
application/x-tgif,obj
application/vnd.oasis.opendocument.spreadsheet,ods
application/vnd.oasis.opendocument.text,odt
audio/ogg,ogg
application/vnd.lotus-organizer,org
application/x-font-otf,otf
application/x-pkcs7-certificates,p7c
application/vnd.hp-pcl,pcl
application/pdf,pdf
application/vnd.mobius.plc,plc
image/png,png
application/x-spss-por,por
application/vnd.openxmlformats-officedocument.presentationml.template,potx
application/vnd.ms-powerpoint,ppt
application/vnd.openxmlformats-officedocument.presentationml.presentation,pptx
application/vnd.palm,prc
application/prj,prj
image/vnd.adobe.photoshop,psd
application/x-mspublisher,pub
text/x-python,py
application/vnd.intu.qbo,qbo
type/x-r-syntax,r
application/x-compressed,rar
application/x-rar-compressed,rar
text/x-ruby-script,rb
application/x-rlang-transport,rd
application/rdf+xml,rdf
application/vnd.businessobjects,rep
application/x-dtbresource+xml,res
text/x-r-notebook,rmd
application/relax-ng-compact-syntax,rnc
application/sparql-query,rq
application/rtf,rtf
text/rtf,rtf
application/x-sas-syntax,sas
text/x-sas-syntax,sas
text/x-sas-syntax,sas
application/x-spss-sav,sav
application/sbn,sbn
application/sbx,sbx
application/x-sas-system,sd2
application/vnd.stardivision.calc,sdc
application/java-serialized-object,ser
text/sgml,sgm
application/x-sh,sh
application/shp,shp
application/shx,shx
application/x-stata-smcl,smcl
video/x-smv,smv
application/x-spss-syntax,sps
text/x-spss-syntax,sps
application/x-sql,sql
application/x-wais-source,src
application/x-subrip,srt
application/vnd.ms-pki.stl,stl
application/vnd.pg.format,str
image/svg+xml,svg
application/x-swc,swc
application/x-shockwave-flash,swf
application/x-tar,tar
application/x-tex,tex
image/x-tga,tga
image/tiff,tif
text/tab-separated-values,tsv
text/tsv,tsv
application/x-font-ttf,ttc
text/turtle,ttl
application/twbx,twbx
"""text/plain; charset=US-ASCII",txt
text/plain,txt
text/plain; charset=US-ASCII,txt
text/plain; charset=UTF-8,txt
text/vcard,vcf
application/vnd.visio,vsd
audio/vnd.wave,wav
audio/wav,wav
audio/x-wav,wav
application/vnd.ms-works,wcm
application/widget,wgt
application/x-msmetafile,wmf
video/x-ms-wmv,wmv
application/x-font-woff,woff
application/vnd.wordperfect,wp
application/xhtml+xml,xht
application/vnd.ms-excel,xla
application/vnd.ms-excel.sheet.macroenabled.12,xlsm
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx
application/xml,xml
text/xml,xml
application/xslt+xml,xslt
chemical/x-xyz,xyz
application/zip,zip
application/zipped-shapefile,zip
application/x-docker-file,
application/x-h5,
application/x-hdf5,
text/x-fixed-field,
